ID,First Name,Email,Gender,City,Created,Position,New College Name,Colleges,Academic Year,Branch/ Specialisation,Other Branch,Current Academic Year
68112,ANIKET,aniket@xyz.com,,,04/27/2022 01:41:38 pm,,,,,,,
68110,Dhanshree,dhanshree@xyz.com,,,04/22/2022 04:08:38 pm,,Lords Universal College,,,,,
68108,Dhiraj,dhiraj@xyz.com,,,04/16/2022 10:31:59 pm,,,,,,,
68106,Pooja,pooja@xyz.com,,,04/13/2022 10:05:15 pm,,,,,,,
68090,Aayush,aayush@xyz.com,,,03/26/2022 07:02:48 pm,,B.k Birla college,,,,,
68088,Mrunali,mrunali@xyz.com,,,03/26/2022 12:33:23 pm,,Don Bosco College Of Engineering,,,,,
68086,Durga,durga@xyz.com,,,03/26/2022 12:29:28 pm,,"Don Bosco College of Engineering, Fatorda",,,,,
68084,Ruchit,ruchit@xyz.com,,,03/26/2022 11:25:23 am,,"Don Bosco College of Engineering , Fatorda",,,,,
68082,Mayuresh,mayuresh@xyz.com,,,03/26/2022 11:25:14 am,,"Don Bosco College of Engineering, Fatorda",,,,,
68080,ROHIT,rohit@xyz.com,,,03/26/2022 12:47:51 am,,Bundelkhand University,,,,,
68078,Nutan,nutan@xyz.com,,,03/25/2022 09:37:14 pm,,Fr. Conceicao rodrigues college of engineering,,,,,
68076,Yogesh,yogesh@xyz.com,,,03/25/2022 01:24:22 pm,,B.k.birla college,,,,,
68074,Pranali,pranali@xyz.com,,,03/23/2022 05:05:02 pm,,,,,,,
68072,Gaurang,gaurang@xyz.com,,,03/21/2022 10:03:47 pm,,MIT ADT University,,,,,
68070,Saba,saba@xyz.com,,,03/21/2022 05:00:45 pm,,,,,,,
68068,Apurva ,apurva@xyz.com,,,03/19/2022 04:44:18 pm,,Sinhgad Academy of Engineering,,,,,
68066,Soumitra,soumitra@xyz.com,,,03/19/2022 03:01:19 pm,,Silicon institute of technology Bhubaneswar,,,,,
68064,Tanmay,tanmay@xyz.com,,,03/19/2022 01:17:52 pm,,Fr.Conceicao Rodrigues College Of Engineering Bandra Mumbai,,,,,
68030,SUMIT,sumit@xyz.com,,,02/28/2022 05:32:03 pm,,Maturi Venkata Subba Rao Engineering College,,,,,
68028,Shubham ,shubham@xyz.com,,,02/28/2022 12:09:17 pm,,Dr. Babasaheb Ambedkar Open University,,,,,
68026,Shreyas,shreyas@xyz.com,,,02/27/2022 08:15:29 pm,,Theem College of engineering,,,,,
68024,Shivani,shivani@xyz.com,,,02/27/2022 07:22:38 pm,,Ram Narayan ruin college,,,,,
