 Name,Email ID,Attendence,College Name,,CGPA,Speaking Skills,ML Knowledge,Placement Status
ANIKET,aniket@xyz.com,95%,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,,6.7,2,5,1
Dhanshree,dhanshree@xyz.com,95%,AP SHAH INSTITUTE OF TECHNOLOGY ,,8.2,3,2,0
Dhiraj,dhiraj@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,6.5,4,3,0
Pooja,pooja@xyz.com,95%,Pillai College of Engineering New Panvel,,8.7,2,5,0
Aayush,aayush@xyz.com,95%,St Xavier's College ,,9.1,3,5,1
Mrunali,mrunali@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,8.9,4,3,0
Durga,durga@xyz.com,95%,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",,7.4,2,4,0
Ruchit,ruchit@xyz.com,95%,G H Raisoni institut of engineering and technology pune,,7.3,4,3,0
Mayuresh,mayuresh@xyz.com,95%,GOVERNMENT POLYTECHNIC GANDHINAGAR,,8.6,4,2,0
ROHIT,rohit@xyz.com,95%,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",,9.2,3,4,0
Nutan,nutan@xyz.com,95%,"Vishwakarma Institute of Technology, Pune",,7.8,3,4,1
Yogesh,yogesh@xyz.com,95%,"KLE Society's College of BCA, RLS Institute, Belagavi",,7.9,5,2,1
Pranali,pranali@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,9.9,4,2,0
Gaurang,gaurang@xyz.com,95%,St.Francis Institute of Technology,,8.1,5,5,0
Saba,saba@xyz.com,95%,New horizon institute of Technology and Management ,,9.5,2,3,1
Apurva ,apurva@xyz.com,95%,Late G. N. Sapkal College Of Engineering,,9.8,5,5,1
Soumitra,soumitra@xyz.com,95%,"Symbiosis Institute of Technology, Pune",,9.6,3,2,0
Tanmay,tanmay@xyz.com,95%,"MIT Academy Of Engineering ,Alandi",,9.6,5,4,0
SUMIT,sumit@xyz.com,95%,A. C. Patil College of Engineering,,6.2,5,5,0
Shubham ,shubham@xyz.com,95%,Wilson college ,,9.1,2,3,1
Shreyas,shreyas@xyz.com,95%,"LD College of engineering, Ahmedabad, Gujarat ",,7.2,5,2,0
Shivani,shivani@xyz.com,95%,DKTE Society's Textile And Engineering Institute Ichalkaranji,,9.5,5,5,0
Swapnil,swapnil@xyz.com,95%,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",,6.8,3,3,0
Manasi ,manasi@xyz.com,95%,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,,8.4,2,4,0
Damini,damini@xyz.com,95%,"Priyadarshini college of engineering, Nagpur ",,9.9,3,2,0
Hemant ,hemant@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,6.6,3,4,1
Gaurav,gaurav@xyz.com,95%,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,,6.7,2,4,1
Gauravsing,gauravsing@xyz.com,95%,Silicon Institute of Technology,,7.6,2,5,0
Harshal,harshal@xyz.com,95%,ADHIYAMAAN COLLEGE OF ENGINEERING,,8.3,2,4,0
Jitesh,jitesh@xyz.com,95%,Don Bosco College of Engineering Fatorda Goa,,6.3,2,4,1
Dhanshree,dhanshree@xyz.com,95%,Pillai College of Engineering New Panvel,,8.9,3,4,1
Ashish,ashish@xyz.com,95%,St Xavier's College ,,9.5,5,4,0
Pooja,pooja@xyz.com,95%,"Vidyalankar Institute of Technology, Mumbai",,8.5,3,5,0
